catalog_event_id,event_date,magnitude,depth_km
72325826,2014-10-12 17:15:50-07,3.08,6.86
72325846,2014-10-12 17:20:54-07,3.54,7.04
72327121,2014-10-14 12:20:09-07,3.06,6.65
72327201,2014-10-14 13:31:47-07,3.42,6.84
72327246,2014-10-14 13:45:05-07,3.06,7.09
72328226,2014-10-15 23:22:27-07,3.21,7.03
37279904,2014-10-17 06:03:48-07,3.11,1.59
37282232,2014-10-25 04:07:36-07,3.05,12.94
37282264,2014-10-25 07:31:15-07,3.61,0
72334886,2014-10-28 21:36:35-07,3.59,2.22
37284448,2014-11-01 14:21:43-07,3.35,12.96
37284704,2014-11-03 00:53:35-08,3.29,17.58
201411212045,2014-11-21 07:49:41-08,3.2,14.21
72360741,2014-12-05 18:16:07-08,3.92,6.67
37066951,2014-12-06 04:23:19-08,3.46,3.38
472556,2014-12-17 20:14:31-08,3.25,11.65
37298432,2014-12-22 23:59:01-08,3.06,16.34
37298672,2014-12-23 21:51:51-08,4.19,1.33
37298680,2014-12-23 22:00:11-08,3.56,1.08
37300152,2014-12-29 16:12:02-08,3.47,7.36
11408690,2014-01-01 07:47:16-08,3.02,10.57
72134726,2014-01-02 01:32:27-08,3.25,2.2
11409738,2014-01-03 11:47:59-08,3.01,11.21
72141176,2014-01-12 12:24:46-08,4.53,2.61
72143896,2014-01-14 20:52:35-08,3.2,10.09
72140560,2014-01-15 00:18:14-08,3.03,8.19
11413954,2014-01-15 01:35:18-08,4.43,3.56
11414394,2014-01-15 23:40:06-08,3.63,10.36
11414410,2014-01-16 01:50:03-08,3.19,3.02
434979,2014-01-17 22:37:36-08,3.27,8.68
72142850,2014-01-18 08:35:21-08,3.01,8.87
72143400,2014-01-19 14:47:48-08,3.06,4.03
72143605,2014-01-20 01:32:58-08,3.06,4.85
72144240,2014-01-21 03:11:11-08,3.74,2.51
11418122,2014-01-27 04:42:38-08,3.19,16.42
11418410,2014-01-27 15:35:33-08,3.39,7.43
11420386,2014-02-02 22:59:18-08,3.07,15.3
11420690,2014-02-03 21:31:19-08,3.59,13.13
72156066,2014-02-05 01:08:06-08,3.06,5.37
72167161,2014-02-14 07:07:23-08,3.2,10.25
37189912,2014-02-19 16:34:41-08,3.68,3.53
72172021,2014-02-21 01:03:02-08,3.08,30.41
15472201,2014-03-04 14:42:55-08,3.29,7.13
15472217,2014-03-04 14:49:32-08,3.78,6.61
15472225,2014-03-04 14:51:03-08,3.01,6.75
15472609,2014-03-05 01:17:01-08,3.07,6.59
72179616,2014-03-05 16:55:55-08,3.13,9.77
15473569,2014-03-07 09:58:31-08,3.13,7.19
15473729,2014-03-07 20:16:31-08,3.13,9.76
15474201,2014-03-09 11:59:48-07,3.13,3.38
15475329,2014-03-12 19:11:04-07,4.39,0.21
15476409,2014-03-15 08:12:19-07,3.92,8.96
15476793,2014-03-16 14:55:33-07,3.47,4.02
15476961,2014-03-17 06:25:36-07,4.39,9.46
72186040,2014-03-21 11:17:00-07,3.14,9.3
15480609,2014-03-26 16:50:53-07,3.15,3.19
15481105,2014-03-27 21:15:29-07,3.44,0.66
15481633,2014-03-28 20:03:39-07,3.57,7.46
15481673,2014-03-28 21:09:42-07,5.1,4.77
15481681,2014-03-28 21:11:53-07,3.2,2.18
15481777,2014-03-28 21:30:51-07,3.64,4.1
15481969,2014-03-28 22:37:14-07,3.08,4.28
15482817,2014-03-29 09:02:06-07,3.42,3.84
15483001,2014-03-29 14:32:45-07,4.14,9.42
15483377,2014-03-29 22:51:22-07,3.3,1.79
15483393,2014-03-29 23:17:31-07,3.12,1.75
72191860,2014-03-31 23:41:34-07,3.27,6.72
72192395,2014-04-02 09:27:05-07,3.34,7.54
15485145,2014-04-03 10:08:01-07,3.06,11.69
72193350,2014-04-03 21:04:54-07,3.63,8.22
15487297,2014-04-08 12:06:19-07,3.01,10.46
37210760,2014-04-11 16:53:15-07,3.17,8.71
37214496,2014-04-19 05:15:13-07,4.24,0.1
37214944,2014-04-19 22:12:18-07,3.14,3.59
37217280,2014-04-25 12:26:08-07,3.3,5.31
37220384,2014-05-06 03:48:19-07,3.51,5.19
72216881,2014-05-06 14:39:50-07,3.29,2.67
15499025,2014-05-07 23:39:24-07,3.32,13.94
15499489,2014-05-08 21:49:33-07,3.09,19.16
72214810,2014-05-09 00:25:15-07,3.24,7.39
72216275,2014-05-11 18:14:43-07,3.67,7.46
15503377,2014-05-19 13:08:51-07,3.84,7.53
15506089,2014-05-27 12:30:51-07,3.03,3.7
447794,2014-05-30 00:48:33-07,3.99,5.21
15507801,2014-06-01 19:36:43-07,4.16,4.36
72231481,2014-06-03 01:53:42-07,3.5,4.3
15509041,2014-06-05 06:19:40-07,3.12,9.38
15510833,2014-06-11 02:38:05-07,3.99,2.16
72236406,2014-06-11 17:38:35-07,3.38,13.31
15511521,2014-06-13 06:35:19-07,3.47,12.81
15511897,2014-06-13 23:41:13-07,3.19,11.01
15512169,2014-06-14 21:30:26-07,3.01,2.88
37233224,2014-06-17 16:57:47-07,3.3,0.04
72239586,2014-06-17 17:31:53-07,3.04,10.34
72243056,2014-06-24 20:56:51-07,3.13,8.75
72243256,2014-06-25 03:12:22-07,3.06,9.46
72243371,2014-06-25 07:34:56-07,3.32,7.76
72243461,2014-06-25 10:00:26-07,3.2,24.11
72243471,2014-06-25 10:02:52-07,3.01,10.5
72243551,2014-06-25 15:01:36-07,3.37,9.28
37236856,2014-06-27 08:17:23-07,3.78,3.72
37237048,2014-06-27 23:06:15-07,3.03,7.28
37237584,2014-06-29 21:30:55-07,3.1,4.53
37238128,2014-07-01 02:04:43-07,3.03,5.06
37238872,2014-07-02 11:32:17-07,3.1,4.76
15519497,2014-07-03 16:50:27-07,3.12,1.76
15520985,2014-07-05 09:59:34-07,4.58,8.67
15520993,2014-07-05 10:00:26-07,3.39,9.51
15521265,2014-07-05 12:05:46-07,3.01,4.63
15521601,2014-07-05 17:54:56-07,3.4,4.65
15522785,2014-07-07 01:51:05-07,3.03,8.61
72249120,2014-07-07 22:31:15-07,3.07,6.86
15523545,2014-07-08 05:31:46-07,3.2,1.88
451416,2014-07-09 00:04:47-07,3.76,10.93
15524489,2014-07-09 14:48:04-07,3.19,2.87
15524873,2014-07-10 13:41:43-07,3.22,15.44
451655,2014-07-11 10:25:01-07,3.36,9.1
72253275,2014-07-13 10:23:56-07,3.31,5.23
72257961,2014-07-15 14:09:34-07,3.17,4.73
72257966,2014-07-15 14:10:09-07,3.26,4.09
15527617,2014-07-17 07:24:34-07,3.37,13.9
37248544,2014-07-20 02:18:21-07,3.09,6.6
37248768,2014-07-20 12:43:22-07,3.24,2.55
37248784,2014-07-20 12:48:38-07,3,0.69
15530681,2014-07-24 12:20:14-07,3.52,8.78
72266491,2014-07-28 13:01:14-07,3.22,19.29
72272361,2014-08-05 05:40:01-07,3.03,8.21
15535825,2014-08-07 14:45:53-07,3.25,14.79
72270370,2014-08-08 09:48:23-07,3.44,10.96
15536505,2014-08-09 09:46:29-07,3.17,11.9
15538561,2014-08-14 20:57:18-07,3.8,9.74
37259096,2014-08-17 21:55:56-07,3.67,7.56
72281046,2014-08-20 21:33:49-07,3.84,8.47
72282711,2014-08-24 03:20:44-07,6.02,11.25
71086369,2014-08-24 03:21:10-07,4.38,0.93
72282716,2014-08-24 03:21:45-07,3.81,9.09
72282751,2014-08-24 03:24:44-07,3.47,10.5
72283201,2014-08-24 05:47:12-07,3.6,8.47
72287496,2014-08-29 16:32:05-07,3.41,6.22
